Major,Revelle,Muir,Marshall,Warren,ERC,Sixth,Seventh
ES28,64.0,56.0,44.0,60.0,77.0,44.0,77.0
ET25,92.0,56.0,56.0,68.0,72.0,64.0,120.0
GH25,92.0,56.0,60.0,68.0,68.0,52.0,112.0
GH26,76.0,84.0,52.0,60.0,60.0,48.0,84.0
GL25,104.0,60.0,60.0,80.0,62.0,84.0,132.0
GS25,84.0,60.0,68.0,68.0,60.0,72.0,103.0
HI25,88.0,72.0,64.0,68.0,60.0,68.0,120.0
HS25,84.0,60.0,64.0,92.0,46.0,56.0,100.0
HS26,76.0,56.0,64.0,84.0,46.0,52.0,92.0
HS27,74.0,56.0,64.0,60.0,46.0,52.0,90.0
HS28,76.0,56.0,64.0,60.0,46.0,52.0,92.0
IS25,76.0,52.0,64.0,68.0,56.0,52.0,88.0
IS26,60.0,52.0,56.0,60.0,48.0,48.0,64.0
IS27,76.0,64.0,64.0,68.0,56.0,52.0,88.0
IS28,80.0,64.0,64.0,68.0,56.0,52.0,88.0
IS29,80.0,64.0,64.0,68.0,56.0,52.0,88.0
IS30,80.0,64.0,64.0,68.0,56.0,48.0,88.0
IS31,80.0,64.0,64.0,68.0,56.0,56.0,88.0
IS34,64.0,52.0,56.0,60.0,48.0,48.0,68.0
IS36,76.0,64.0,60.0,64.0,52.0,48.0,84.0
IT25,84.0,60.0,68.0,68.0,60.0,64.0,103.0
JA25,81.0,60.0,60.0,68.0,60.0,64.0,90.0
JS25,84.0,60.0,68.0,68.0,68.0,64.0,120.0
LA25,76.0,60.0,60.0,68.0,60.0,60.0,104.0
LA26,73.0,61.0,60.0,68.0,60.0,60.0,105.0
LA27,76.0,56.0,60.0,68.0,60.0,60.0,104.0
LN25,84.0,60.0,68.0,68.0,60.0,64.0,112.0
LN29,84.0,60.0,68.0,68.0,60.0,64.0,112.0
LN32,84.0,60.0,68.0,68.0,60.0,64.0,112.0
LN33,84.0,60.0,68.0,68.0,60.0,64.0,100.0
LN34,84.0,64.0,64.0,68.0,56.0,60.0,108.0
LT33,83.0,99.0,68.0,72.0,60.0,64.0,99.0
LT34,78.0,78.0,68.0,68.0,62.0,60.0,78.0
LT36,78.0,78.0,64.0,68.0,60.0,68.0,78.0
LT41,66.0,90.0,68.0,68.0,60.0,64.0,90.0
MA27,88.0,100.0,56.0,60.0,68.0,56.0,100.0
MA29,88.0,104.0,56.0,60.0,68.0,60.0,104.0
MA30,82.0,86.0,56.0,64.0,64.0,56.0,86.0
MA31,84.0,96.0,56.0,60.0,64.0,56.0,96.0
MA32,88.0,104.0,56.0,60.0,64.0,60.0,104.0
MA33,76.0,92.0,56.0,60.0,64.0,56.0,92.0
MA35,84.0,92.0,56.0,60.0,64.0,56.0,96.0
