Error type,Prerequisite,Required by,Course with redundant prereq
Redundant prereq,CENG 15,"CENG 113 → CENG 120",CENG 120
Redundant prereq,MATH 20D,"CENG 101A → CENG 101B → CENG 120, CENG 113 → CENG 120",CENG 120
Redundant prereq,CENG 100,"CENG 102 → CENG 122",CENG 122
Redundant prereq,CENG 101A,"CENG 101B → CENG 157",CENG 157
Redundant prereq,CENG 100,"CENG 102 → CENG 170",CENG 170
Redundant prereq,ANSC 117,"CGS 100A → CGS 100B → CGS 100A, CGS 124 → CGS 123 → CGS 122 → CGS 121 → CGS 100A → CGS 100B → CGS 100A, CGS 126 → CGS 124 → CGS 123 → CGS 122 → CGS 121 → CGS 100A → CGS 100B → CGS 100A, CGS 125 → CGS 126 → CGS 124 → CGS 123 → CGS 122 → CGS 121 → CGS 100A → CGS 100B → CGS 100A",CGS 100A
Redundant prereq,CGS 100,"CGS 100B → CGS 100A, CGS 100A → CGS 100B → CGS 100A, CGS 121 → CGS 100A → CGS 100B → CGS 100A, CGS 122 → CGS 121 → CGS 100A → CGS 100B → CGS 100A, CGS 123 → CGS 122 → CGS 121 → CGS 100A → CGS 100B → CGS 100A, CGS 124 → CGS 123 → CGS 122 → CGS 121 → CGS 100A → CGS 100B → CGS 100A, CGS 125 → CGS 126 → CGS 124 → CGS 123 → CGS 122 → CGS 121 → CGS 100A → CGS 100B → CGS 100A, CGS 137 → CGS 125 → CGS 126 → CGS 124 → CGS 123 → CGS 122 → CGS 121 → CGS 100A → CGS 100B → CGS 100A, CGS 147 → CGS 137 → CGS 125 → CGS 126 → CGS 124 → CGS 123 → CGS 122 → CGS 121 → CGS 100A → CGS 100B → CGS 100A, CGS 150 → CGS 147 → CGS 137 → CGS 125 → CGS 126 → CGS 124 → CGS 123 → CGS 122 → CGS 121 → CGS 100A → CGS 100B → CGS 100A, CGS 165 → CGS 150 → CGS 147 → CGS 137 → CGS 125 → CGS 126 → CGS 124 → CGS 123 → CGS 122 → CGS 121 → CGS 100A → CGS 100B → CGS 100A, ETHN 137 → CGS 165 → CGS 150 → CGS 147 → CGS 137 → CGS 125 → CGS 126 → CGS 124 → CGS 123 → CGS 122 → CGS 121 → CGS 100A → CGS 100B → CGS 100A, ETHN 147 → ETHN 137 → CGS 165 → CGS 150 → CGS 147 → CGS 137 → CGS 125 → CGS 126 → CGS 124 → CGS 123 → CGS 122 → CGS 121 → CGS 100A → CGS 100B → CGS 100A, ETHN 150 → ETHN 147 → ETHN 137 → CGS 165 → CGS 150 → CGS 147 → CGS 137 → CGS 125 → CGS 126 → CGS 124 → CGS 123 → CGS 122 → CGS 121 → CGS 100A → CGS 100B → CGS 100A, ETHN 165 → ETHN 150 → ETHN 147 → ETHN 137 → CGS 165 → CGS 150 → CGS 147 → CGS 137 → CGS 125 → CGS 126 → CGS 124 → CGS 123 → CGS 122 → CGS 121 → CGS 100A → CGS 100B → CGS 100A, ETHN 187 → ETHN 165 → ETHN 150 → ETHN 147 → ETHN 137 → CGS 165 → CGS 150 → CGS 147 → CGS 137 → CGS 125 → CGS 126 → CGS 124 → CGS 123 → CGS 122 → CGS 121 → CGS 100A → CGS 100B → CGS 100A, CGS 187 → CGS 125 → CGS 126 → CGS 124 → CGS 123 → CGS 122 → CGS 121 → CGS 100A → CGS 100B → CGS 100A",CGS 100A
Redundant prereq,CGS 100B,"CGS 100A → CGS 100B → CGS 100A, CGS 121 → CGS 100A → CGS 100B → CGS 100A, CGS 122 → CGS 121 → CGS 100A → CGS 100B → CGS 100A, CGS 123 → CGS 122 → CGS 121 → CGS 100A → CGS 100B → CGS 100A, CGS 124 → CGS 123 → CGS 122 → CGS 121 → CGS 100A → CGS 100B → CGS 100A, CGS 126 → CGS 124 → CGS 123 → CGS 122 → CGS 121 → CGS 100A → CGS 100B → CGS 100A, CGS 125 → CGS 126 → CGS 124 → CGS 123 → CGS 122 → CGS 121 → CGS 100A → CGS 100B → CGS 100A, CGS 137 → CGS 125 → CGS 126 → CGS 124 → CGS 123 → CGS 122 → CGS 121 → CGS 100A → CGS 100B → CGS 100A, CGS 147 → CGS 137 → CGS 125 → CGS 126 → CGS 124 → CGS 123 → CGS 122 → CGS 121 → CGS 100A → CGS 100B → CGS 100A, CGS 150 → CGS 147 → CGS 137 → CGS 125 → CGS 126 → CGS 124 → CGS 123 → CGS 122 → CGS 121 → CGS 100A → CGS 100B → CGS 100A, CGS 165 → CGS 150 → CGS 147 → CGS 137 → CGS 125 → CGS 126 → CGS 124 → CGS 123 → CGS 122 → CGS 121 → CGS 100A → CGS 100B → CGS 100A, ETHN 137 → CGS 165 → CGS 150 → CGS 147 → CGS 137 → CGS 125 → CGS 126 → CGS 124 → CGS 123 → CGS 122 → CGS 121 → CGS 100A → CGS 100B → CGS 100A, ETHN 147 → ETHN 137 → CGS 165 → CGS 150 → CGS 147 → CGS 137 → CGS 125 → CGS 126 → CGS 124 → CGS 123 → CGS 122 → CGS 121 → CGS 100A → CGS 100B → CGS 100A, ETHN 150 → ETHN 147 → ETHN 137 → CGS 165 → CGS 150 → CGS 147 → CGS 137 → CGS 125 → CGS 126 → CGS 124 → CGS 123 → CGS 122 → CGS 121 → CGS 100A → CGS 100B → CGS 100A, ETHN 165 → ETHN 150 → ETHN 147 → ETHN 137 → CGS 165 → CGS 150 → CGS 147 → CGS 137 → CGS 125 → CGS 126 → CGS 124 → CGS 123 → CGS 122 → CGS 121 → CGS 100A → CGS 100B → CGS 100A, ETHN 187 → ETHN 165 → ETHN 150 → ETHN 147 → ETHN 137 → CGS 165 → CGS 150 → CGS 147 → CGS 137 → CGS 125 → CGS 126 → CGS 124 → CGS 123 → CGS 122 → CGS 121 → CGS 100A → CGS 100B → CGS 100A, CGS 187 → CGS 125 → CGS 126 → CGS 124 → CGS 123 → CGS 122 → CGS 121 → CGS 100A → CGS 100B → CGS 100A",CGS 100A
Redundant prereq,CGS 101,"CGS 100A → CGS 100B → CGS 100A, CGS 121 → CGS 100A → CGS 100B → CGS 100A, CGS 122 → CGS 121 → CGS 100A → CGS 100B → CGS 100A, CGS 123 → CGS 122 → CGS 121 → CGS 100A → CGS 100B → CGS 100A, CGS 124 → CGS 123 → CGS 122 → CGS 121 → CGS 100A → CGS 100B → CGS 100A, CGS 126 → CGS 124 → CGS 123 → CGS 122 → CGS 121 → CGS 100A → CGS 100B → CGS 100A, CGS 125 → CGS 126 → CGS 124 → CGS 123 → CGS 122 → CGS 121 → CGS 100A → CGS 100B → CGS 100A, CGS 137 → CGS 125 → CGS 126 → CGS 124 → CGS 123 → CGS 122 → CGS 121 → CGS 100A → CGS 100B → CGS 100A, CGS 147 → CGS 137 → CGS 125 → CGS 126 → CGS 124 → CGS 123 → CGS 122 → CGS 121 → CGS 100A → CGS 100B → CGS 100A, CGS 150 → CGS 147 → CGS 137 → CGS 125 → CGS 126 → CGS 124 → CGS 123 → CGS 122 → CGS 121 → CGS 100A → CGS 100B → CGS 100A, CGS 165 → CGS 150 → CGS 147 → CGS 137 → CGS 125 → CGS 126 → CGS 124 → CGS 123 → CGS 122 → CGS 121 → CGS 100A → CGS 100B → CGS 100A, ETHN 137 → CGS 165 → CGS 150 → CGS 147 → CGS 137 → CGS 125 → CGS 126 → CGS 124 → CGS 123 → CGS 122 → CGS 121 → CGS 100A → CGS 100B → CGS 100A, ETHN 147 → ETHN 137 → CGS 165 → CGS 150 → CGS 147 → CGS 137 → CGS 125 → CGS 126 → CGS 124 → CGS 123 → CGS 122 → CGS 121 → CGS 100A → CGS 100B → CGS 100A, ETHN 150 → ETHN 147 → ETHN 137 → CGS 165 → CGS 150 → CGS 147 → CGS 137 → CGS 125 → CGS 126 → CGS 124 → CGS 123 → CGS 122 → CGS 121 → CGS 100A → CGS 100B → CGS 100A, ETHN 165 → ETHN 150 → ETHN 147 → ETHN 137 → CGS 165 → CGS 150 → CGS 147 → CGS 137 → CGS 125 → CGS 126 → CGS 124 → CGS 123 → CGS 122 → CGS 121 → CGS 100A → CGS 100B → CGS 100A, ETHN 187 → ETHN 165 → ETHN 150 → ETHN 147 → ETHN 137 → CGS 165 → CGS 150 → CGS 147 → CGS 137 → CGS 125 → CGS 126 → CGS 124 → CGS 123 → CGS 122 → CGS 121 → CGS 100A → CGS 100B → CGS 100A, CGS 187 → CGS 125 → CGS 126 → CGS 124 → CGS 123 → CGS 122 → CGS 121 → CGS 100A → CGS 100B → CGS 100A, CGS 100B → CGS 100A",CGS 100A
Redundant prereq,CGS 102,"CGS 100A → CGS 100B → CGS 100A, CGS 122 → CGS 121 → CGS 100A → CGS 100B → CGS 100A, CGS 123 → CGS 122 → CGS 121 → CGS 100A → CGS 100B → CGS 100A, CGS 124 → CGS 123 → CGS 122 → CGS 121 → CGS 100A → CGS 100B → CGS 100A, CGS 126 → CGS 124 → CGS 123 → CGS 122 → CGS 121 → CGS 100A → CGS 100B → CGS 100A, CGS 125 → CGS 126 → CGS 124 → CGS 123 → CGS 122 → CGS 121 → CGS 100A → CGS 100B → CGS 100A, CGS 137 → CGS 125 → CGS 126 → CGS 124 → CGS 123 → CGS 122 → CGS 121 → CGS 100A → CGS 100B → CGS 100A, CGS 147 → CGS 137 → CGS 125 → CGS 126 → CGS 124 → CGS 123 → CGS 122 → CGS 121 → CGS 100A → CGS 100B → CGS 100A, CGS 150 → CGS 147 → CGS 137 → CGS 125 → CGS 126 → CGS 124 → CGS 123 → CGS 122 → CGS 121 → CGS 100A → CGS 100B → CGS 100A, CGS 165 → CGS 150 → CGS 147 → CGS 137 → CGS 125 → CGS 126 → CGS 124 → CGS 123 → CGS 122 → CGS 121 → CGS 100A → CGS 100B → CGS 100A, ETHN 137 → CGS 165 → CGS 150 → CGS 147 → CGS 137 → CGS 125 → CGS 126 → CGS 124 → CGS 123 → CGS 122 → CGS 121 → CGS 100A → CGS 100B → CGS 100A, ETHN 147 → ETHN 137 → CGS 165 → CGS 150 → CGS 147 → CGS 137 → CGS 125 → CGS 126 → CGS 124 → CGS 123 → CGS 122 → CGS 121 → CGS 100A → CGS 100B → CGS 100A, ETHN 150 → ETHN 147 → ETHN 137 → CGS 165 → CGS 150 → CGS 147 → CGS 137 → CGS 125 → CGS 126 → CGS 124 → CGS 123 → CGS 122 → CGS 121 → CGS 100A → CGS 100B → CGS 100A, ETHN 165 → ETHN 150 → ETHN 147 → ETHN 137 → CGS 165 → CGS 150 → CGS 147 → CGS 137 → CGS 125 → CGS 126 → CGS 124 → CGS 123 → CGS 122 → CGS 121 → CGS 100A → CGS 100B → CGS 100A, ETHN 187 → ETHN 165 → ETHN 150 → ETHN 147 → ETHN 137 → CGS 165 → CGS 150 → CGS 147 → CGS 137 → CGS 125 → CGS 126 → CGS 124 → CGS 123 → CGS 122 → CGS 121 → CGS 100A → CGS 100B → CGS 100A, CGS 187 → CGS 125 → CGS 126 → CGS 124 → CGS 123 → CGS 122 → CGS 121 → CGS 100A → CGS 100B → CGS 100A, CGS 100B → CGS 100A",CGS 100A
